# SIMULATED DATA (Jeu synthetique genere localement). No performance figure holds here.
fold,scorer,period_start,precision
1,random,2025-07-22,0.02
1,random,2025-07-29,0.04
1,random,2025-08-05,0.04
1,revenue,2025-03-04,0.0
1,revenue,2025-03-11,0.0
1,revenue,2025-03-18,0.0
1,revenue,2025-03-25,0.0
1,revenue,2025-04-01,0.0
1,revenue,2025-04-08,0.0
1,revenue,2025-04-15,0.0
1,revenue,2025-04-22,0.0
1,revenue,2025-04-29,0.0
1,revenue,2025-05-06,0.06
1,revenue,2025-05-13,0.06
1,revenue,2025-05-20,0.06
1,revenue,2025-05-27,0.06
1,revenue,2025-06-03,0.04
1,revenue,2025-06-10,0.04
1,revenue,2025-06-17,0.04
1,revenue,2025-06-24,0.04
1,revenue,2025-07-01,0.0
1,revenue,2025-07-08,0.0
1,revenue,2025-07-15,0.02
1,revenue,2025-07-22,0.02
1,revenue,2025-07-29,0.02
1,revenue,2025-08-05,0.02
1,logistic,2025-03-04,0.0
1,logistic,2025-03-11,0.0
1,logistic,2025-03-18,0.0
1,logistic,2025-03-25,0.0
1,logistic,2025-04-01,0.02
1,logistic,2025-04-08,0.0
1,logistic,2025-04-15,0.0
1,logistic,2025-04-22,0.0
1,logistic,2025-04-29,0.0
1,logistic,2025-05-06,0.04
1,logistic,2025-05-13,0.06
1,logistic,2025-05-20,0.06
1,logistic,2025-05-27,0.04
1,logistic,2025-06-03,0.02
1,logistic,2025-06-10,0.02
1,logistic,2025-06-17,0.02
1,logistic,2025-06-24,0.02
1,logistic,2025-07-01,0.02
1,logistic,2025-07-08,0.02
1,logistic,2025-07-15,0.06
1,logistic,2025-07-22,0.06
1,logistic,2025-07-29,0.08
1,logistic,2025-08-05,0.06
1,xgboost,2025-03-04,0.0
1,xgboost,2025-03-11,0.0
1,xgboost,2025-03-18,0.0
1,xgboost,2025-03-25,0.0
1,xgboost,2025-04-01,0.02
1,xgboost,2025-04-08,0.0
1,xgboost,2025-04-15,0.0
1,xgboost,2025-04-22,0.0
1,xgboost,2025-04-29,0.0
1,xgboost,2025-05-06,0.04
1,xgboost,2025-05-13,0.04
1,xgboost,2025-05-20,0.04
1,xgboost,2025-05-27,0.04
1,xgboost,2025-06-03,0.02
1,xgboost,2025-06-10,0.04
1,xgboost,2025-06-17,0.04
1,xgboost,2025-06-24,0.04
1,xgboost,2025-07-01,0.02
1,xgboost,2025-07-08,0.0
1,xgboost,2025-07-15,0.04
1,xgboost,2025-07-22,0.06
1,xgboost,2025-07-29,0.08
1,xgboost,2025-08-05,0.08
2,random,2025-08-12,0.02
2,random,2025-08-19,0.02
2,random,2025-08-26,0.0
2,random,2025-09-02,0.04
2,random,2025-09-09,0.02
2,random,2025-09-16,0.04
2,random,2025-09-23,0.02
2,random,2025-09-30,0.0
2,random,2025-10-07,0.04
2,random,2025-10-14,0.0
2,random,2025-10-21,0.02
2,random,2025-10-28,0.04
2,random,2025-11-04,0.0
2,random,2025-11-11,0.0
2,random,2025-11-18,0.02
2,random,2025-11-25,0.02
2,random,2025-12-02,0.04
2,random,2025-12-09,0.02
2,random,2025-12-16,0.02
2,random,2025-12-23,0.0
2,random,2025-12-30,0.0
2,random,2026-01-06,0.04
2,random,2026-01-13,0.02
2,revenue,2025-08-12,0.02
2,revenue,2025-08-19,0.02
2,revenue,2025-08-26,0.02
2,revenue,2025-09-02,0.02
2,revenue,2025-09-09,0.0
2,revenue,2025-09-16,0.0
2,revenue,2025-09-23,0.0
2,revenue,2025-09-30,0.0
2,revenue,2025-10-07,0.0
2,revenue,2025-10-14,0.02
2,revenue,2025-10-21,0.02
2,revenue,2025-10-28,0.02
2,revenue,2025-11-04,0.02
2,revenue,2025-11-11,0.02
2,revenue,2025-11-18,0.02
2,revenue,2025-11-25,0.02
2,revenue,2025-12-02,0.02
2,revenue,2025-12-09,0.04
2,revenue,2025-12-16,0.02
2,revenue,2025-12-23,0.04
2,revenue,2025-12-30,0.04
2,revenue,2026-01-06,0.02
2,revenue,2026-01-13,0.02
2,logistic,2025-08-12,0.08
2,logistic,2025-08-19,0.08
2,logistic,2025-08-26,0.08
2,logistic,2025-09-02,0.08
2,logistic,2025-09-09,0.04
2,logistic,2025-09-16,0.04
2,logistic,2025-09-23,0.04
2,logistic,2025-09-30,0.02
2,logistic,2025-10-07,0.02
2,logistic,2025-10-14,0.04
2,logistic,2025-10-21,0.04
2,logistic,2025-10-28,0.02
2,logistic,2025-11-04,0.02
2,logistic,2025-11-11,0.06
2,logistic,2025-11-18,0.06
2,logistic,2025-11-25,0.04
2,logistic,2025-12-02,0.04
2,logistic,2025-12-09,0.08
2,logistic,2025-12-16,0.06
2,logistic,2025-12-23,0.06
2,logistic,2025-12-30,0.06
2,logistic,2026-01-06,0.06
2,logistic,2026-01-13,0.06
2,xgboost,2025-08-12,0.08
2,xgboost,2025-08-19,0.08
2,xgboost,2025-08-26,0.08
2,xgboost,2025-09-02,0.1
2,xgboost,2025-09-09,0.02
2,xgboost,2025-09-16,0.04
2,xgboost,2025-09-23,0.04
2,xgboost,2025-09-30,0.02
2,xgboost,2025-10-07,0.02
2,xgboost,2025-10-14,0.04
2,xgboost,2025-10-21,0.04
2,xgboost,2025-10-28,0.02
2,xgboost,2025-11-04,0.02
2,xgboost,2025-11-11,0.02
2,xgboost,2025-11-18,0.04
2,xgboost,2025-11-25,0.04
2,xgboost,2025-12-02,0.04
2,xgboost,2025-12-09,0.06
2,xgboost,2025-12-16,0.04
2,xgboost,2025-12-23,0.06
2,xgboost,2025-12-30,0.06
2,xgboost,2026-01-06,0.06
2,xgboost,2026-01-13,0.04
3,random,2026-01-20,0.0
3,random,2026-01-27,0.02
3,random,2026-02-03,0.0
3,random,2026-02-10,0.04
3,random,2026-02-17,0.02
3,random,2026-02-24,0.02
3,random,2026-03-03,0.04
3,random,2026-03-10,0.0
3,random,2026-03-17,0.0
3,random,2026-03-24,0.0
3,random,2026-03-31,0.02
3,random,2026-04-07,0.06
3,random,2026-04-14,0.0
3,random,2026-04-21,0.0
3,random,2026-04-28,0.04
3,random,2026-05-05,0.02
3,random,2026-05-12,0.0
3,random,2026-05-19,0.04
3,random,2026-05-26,0.02
3,random,2026-06-02,0.02
3,random,2026-06-09,0.0
3,random,2026-06-16,0.04
3,random,2026-06-23,0.02
3,revenue,2026-01-20,0.02
3,revenue,2026-01-27,0.02
3,revenue,2026-02-03,0.02
3,revenue,2026-02-10,0.02
3,revenue,2026-02-17,0.04
3,revenue,2026-02-24,0.02
3,revenue,2026-03-03,0.02
3,revenue,2026-03-10,0.02
3,revenue,2026-03-17,0.02
3,revenue,2026-03-24,0.02
3,revenue,2026-03-31,0.02
3,revenue,2026-04-07,0.02
3,revenue,2026-04-14,0.02
3,revenue,2026-04-21,0.0
3,revenue,2026-04-28,0.0
3,revenue,2026-05-05,0.0
3,revenue,2026-05-12,0.0
3,revenue,2026-05-19,0.0
3,revenue,2026-05-26,0.0
3,revenue,2026-06-02,0.0
3,revenue,2026-06-09,0.02
3,revenue,2026-06-16,0.02
3,revenue,2026-06-23,0.04
3,logistic,2026-01-20,0.06
3,logistic,2026-01-27,0.06
3,logistic,2026-02-03,0.06
3,logistic,2026-02-10,0.04
3,logistic,2026-02-17,0.06
3,logistic,2026-02-24,0.04
3,logistic,2026-03-03,0.06
3,logistic,2026-03-10,0.04
3,logistic,2026-03-17,0.06
3,logistic,2026-03-24,0.06
3,logistic,2026-03-31,0.08
3,logistic,2026-04-07,0.1
3,logistic,2026-04-14,0.1
3,logistic,2026-04-21,0.08
3,logistic,2026-04-28,0.06
3,logistic,2026-05-05,0.08
3,logistic,2026-05-12,0.1
3,logistic,2026-05-19,0.12
3,logistic,2026-05-26,0.1
3,logistic,2026-06-02,0.06
3,logistic,2026-06-09,0.06
3,logistic,2026-06-16,0.08
3,logistic,2026-06-23,0.08
3,xgboost,2026-01-20,0.04
3,xgboost,2026-01-27,0.06
3,xgboost,2026-02-03,0.08
3,xgboost,2026-02-10,0.04
3,xgboost,2026-02-17,0.1
3,xgboost,2026-02-24,0.06
3,xgboost,2026-03-03,0.06
3,xgboost,2026-03-10,0.04
3,xgboost,2026-03-17,0.04
3,xgboost,2026-03-24,0.06
3,xgboost,2026-03-31,0.08
3,xgboost,2026-04-07,0.1
3,xgboost,2026-04-14,0.1
3,xgboost,2026-04-21,0.06
3,xgboost,2026-04-28,0.08
3,xgboost,2026-05-05,0.08
3,xgboost,2026-05-12,0.08
3,xgboost,2026-05-19,0.1
3,xgboost,2026-05-26,0.08
3,xgboost,2026-06-02,0.04
3,xgboost,2026-06-09,0.06
3,xgboost,2026-06-16,0.1
3,xgboost,2026-06-23,0.08
